name,phone,whatsapp_link,status
Vibe Unisex Salon,+919342795928,"https://wa.me/+919342795928?text=Hi%20Vibe%20Unisex%20Salon,%0AWe%20have%20an%20exciting%20website%20for%20your%20cafe!%0ACheck%20it%20out",ready_to_send
Cheap And Best Men'S Salon Arumbakkam,+917200360483,"https://wa.me/+917200360483?text=Hi%20Cheap%20And%20Best%20Men'S%20Salon%20Arumbakkam,%0AWe%20have%20an%20exciting%20website%20for%20your%20cafe!%0ACheck%20it%20out",ready_to_send
Shahnaz Husain International Franchise Salon Annanagar Chennai Best Salon For Hair Skin Bridal And Nail Salon,+919790837218,"https://wa.me/+919790837218?text=Hi%20Shahnaz%20Husain%20International%20Franchise%20Salon%20Annanagar%20Chennai%20Best%20Salon%20For%20Hair%20Skin%20Bridal%20And%20Nail%20Salon,%0AWe%20have%20an%20exciting%20website%20for%20your%20cafe!%0ACheck%20it%20out",ready_to_send
Cheap And Best Men'S Salon Anna Nagar,+919946595595,"https://wa.me/+919946595595?text=Hi%20Cheap%20And%20Best%20Men'S%20Salon%20Anna%20Nagar,%0AWe%20have%20an%20exciting%20website%20for%20your%20cafe!%0ACheck%20it%20out",ready_to_send
One And Only Hair And Skin Unisex Salon Studio,+914442158788,"https://wa.me/+914442158788?text=Hi%20One%20And%20Only%20Hair%20And%20Skin%20Unisex%20Salon%20Studio,%0AWe%20have%20an%20exciting%20website%20for%20your%20cafe!%0ACheck%20it%20out",ready_to_send
Cheap & Best - Affordable Men'S Salon -Madhavaram High Road Perambur,+917806969001,"https://wa.me/+917806969001?text=Hi%20Cheap%20&%20Best%20-%20Affordable%20Men'S%20Salon%20-Madhavaram%20High%20Road%20Perambur,%0AWe%20have%20an%20exciting%20website%20for%20your%20cafe!%0ACheck%20it%20out",ready_to_send
Love Unisex Salon,+919342797125,"https://wa.me/+919342797125?text=Hi%20Love%20Unisex%20Salon,%0AWe%20have%20an%20exciting%20website%20for%20your%20cafe!%0ACheck%20it%20out",ready_to_send
New Look Salon,+917409096454,"https://wa.me/+917409096454?text=Hi%20New%20Look%20Salon,%0AWe%20have%20an%20exciting%20website%20for%20your%20cafe!%0ACheck%20it%20out",ready_to_send
Kohls Salon Anna Nagar Exclusive For Women,+917338782344,"https://wa.me/+917338782344?text=Hi%20Kohls%20Salon%20Anna%20Nagar%20Exclusive%20For%20Women,%0AWe%20have%20an%20exciting%20website%20for%20your%20cafe!%0ACheck%20it%20out",ready_to_send
Style Spark Unisex Salon,+914428262818,"https://wa.me/+914428262818?text=Hi%20Style%20Spark%20Unisex%20Salon,%0AWe%20have%20an%20exciting%20website%20for%20your%20cafe!%0ACheck%20it%20out",ready_to_send
